time,MPI-ESM1-2-HR,MPI-ESM1-2-LR,CanESM5,MIROC6,IPSL-CM6A-LR,ACCESS-CM2,NorESM2-LM,GFDL-ESM4
1997-09-19,24.240387,25.255615,20.547028,19.83252,18.532318,17.150787,17.392914,15.554382
1997-09-20,24.4357,25.101715,22.45642,21.201324,19.802582,14.792877,20.239899,12.920197
1997-09-21,14.081604,24.765991,21.54477,21.727692,18.957092,13.188629,18.368744,11.842407
1997-09-22,12.906586,22.71402,19.13034,22.384521,20.87378,13.438629,21.325348,11.098907
1997-09-23,15.39978,17.709991,20.196045,20.677063,19.566254,15.039459,22.320007,11.563263
1997-09-24,18.831879,17.25708,23.068146,21.192719,18.069946,17.335846,19.181366,12.529633
1997-09-25,20.26831,20.082,19.534332,18.917297,21.673126,15.895416,17.687988,12.329651
1997-09-26,22.865662,22.749298,19.755707,16.900665,14.919617,14.694489,15.773163,14.041779
1997-09-27,18.148193,23.83902,20.41977,14.737671,11.101776,14.527008,16.013397,18.139832
1997-09-28,18.341064,21.848785,19.854095,13.525391,14.138245,16.069489,17.266998,15.21814
1997-09-29,18.496552,23.318604,21.138275,13.5486145,16.751984,14.605133,18.471283,10.40332
1997-09-30,18.958893,23.451721,22.182434,13.075348,18.659027,10.599274,20.907166,9.27713
1997-10-01,14.454559,24.2211,22.364044,13.8688965,21.21756,8.199371,19.742096,10.896576
1997-10-02,10.990265,22.693756,22.414917,15.041046,23.092468,7.8683167,9.700562,5.917755
1997-10-03,13.780457,17.893158,23.323364,16.733154,23.241852,7.3399963,7.529846,7.661072
1997-10-04,15.318878,17.30899,20.196869,16.583374,22.009186,7.8609924,10.108978,12.086487
1997-10-05,18.384674,21.463776,18.828217,15.318817,20.298645,8.591949,13.090057,13.119446
1997-10-06,21.315826,19.632965,20.277191,15.147186,16.183167,9.235504,15.531189,17.583893
1997-10-07,19.09964,15.905548,20.622253,16.540466,8.175537,12.357819,15.405243,13.998016
1997-10-08,16.014679,17.02713,21.975067,17.692719,10.825104,14.204987,15.709259,11.392975
1997-10-09,15.864502,14.024353,21.191254,16.65274,15.540192,15.111969,9.553619,10.765808
1997-10-10,14.044037,16.497223,18.252014,13.859924,17.365204,15.544586,8.444366,15.128784
1997-10-11,15.27536,15.982269,19.483246,12.64798,19.162567,16.133942,13.320618,14.650024
1997-10-12,14.640717,16.56424,20.31424,16.233917,21.108398,19.008698,14.144012,12.775391
1997-10-13,12.061096,17.957733,18.961548,14.806824,21.897766,14.798981,7.0851135,15.203583
1997-10-14,11.89917,17.29956,19.991272,14.698425,16.183533,12.072662,3.6871948,14.433289
1997-10-15,15.756378,17.345612,21.730743,14.728088,7.390259,10.397369,5.43869,8.07724
1997-10-16,16.380463,18.863556,22.658386,16.273407,8.853668,11.236481,9.166016,13.56781
1997-10-17,16.90744,19.56784,18.196533,12.5555725,11.031342,15.021637,13.250366,11.309143
1997-10-18,17.980682,18.897125,17.424408,9.273865,12.603821,11.223785,14.274353,8.411224
1997-10-19,19.756042,17.524567,20.17102,7.7315063,15.743378,9.071442,15.970734,10.367004
1997-10-20,16.337067,16.936188,12.861176,15.935608,10.866852,10.078033,13.043884,9.743011
1997-10-21,10.628082,19.475616,13.947693,15.173828,10.442444,8.683746,9.546387,6.7808228
1997-10-22,12.491211,19.848328,15.617432,12.349762,11.6779175,5.521637,9.4921875,9.246063
1997-10-23,13.683685,20.651398,16.69522,12.391968,12.102753,4.8451233,9.895172,7.397583
1997-10-24,15.505127,15.866852,14.688019,12.511963,10.118469,4.861725,10.878906,4.2690125
1997-10-25,18.387543,14.062592,18.668152,17.020782,10.5877075,5.1959534,10.944275,8.847931
1997-10-26,19.666504,15.7621155,15.561401,15.871246,10.304596,6.1080627,11.201935,7.9937134
1997-10-27,20.707,18.694458,13.228363,11.560883,1.2505798,8.994049,11.083801,8.38147
1997-10-28,17.316742,17.686066,16.04245,11.137421,0.5949402,11.587555,11.350616,8.801514
1997-10-29,16.007751,17.942078,14.152588,12.098297,2.9373474,17.447906,12.364868,5.524475
1997-10-30,13.631622,14.749512,12.751221,12.614685,7.110077,16.043365,14.50885,7.7190247
1997-10-31,8.43808,16.486237,13.951447,13.069,9.170593,14.220123,15.543854,10.660034
1997-11-01,9.593597,13.856476,17.154327,13.3013,10.773773,11.679108,12.181946,5.4830933
1997-11-02,11.951752,12.602997,18.662598,13.4522705,6.0844116,7.606842,9.172974,11.060516
1997-11-03,9.326447,8.877472,14.04953,12.235596,1.9813232,7.504059,12.352631,5.5539246
1997-11-04,7.211853,8.482819,12.550751,15.143799,3.6592407,7.613922,14.80423,3.3735962
1997-11-05,8.022308,10.26178,12.159821,17.03067,2.1187134,3.6507874,12.485138,4.9834595
1997-11-06,6.3607483,11.711517,11.897125,17.260803,3.3961792,4.2965393,12.680389,4.3852844
1997-11-07,0.7835388,11.993561,13.140564,9.17627,8.063385,2.7367249,3.9043274,5.620819
1997-11-08,2.2105408,14.0885315,15.945984,4.5339355,10.375061,2.2657776,2.9442139,1.6742859
1997-11-09,3.36557,19.373932,14.95224,4.398285,17.571655,0.64663696,3.6868896,1.1953125
1997-11-10,3.0968933,10.733917,11.90744,1.7859192,12.656891,0.28530884,6.4469604,4.046753
1997-11-11,4.24765,6.9672546,13.227844,3.91922,7.334503,0.1078186,9.79483,9.451782
1997-11-12,5.7087708,7.0972595,17.1391,4.6606445,2.1483765,-0.12606812,9.584839,14.191925
1997-11-13,8.167297,5.812622,15.3576355,5.8379517,3.1250305,-0.39486694,9.10614,8.808502
1997-11-14,12.113556,5.383728,11.762207,6.5358276,7.3193054,0.41983032,8.254974,13.944214
1997-11-15,4.157898,2.9821777,12.625458,6.949402,10.452972,1.132721,0.8867798,7.289734
1997-11-16,3.2471924,6.73114,10.959503,7.6526184,9.815186,0.9642639,7.2138977,2.083191
1997-11-17,0.8731079,2.8015442,9.724609,5.8523254,5.671875,0.7286682,8.705597,-0.306427
1997-11-18,0.02420044,4.624878,13.1492,4.474701,4.0786743,0.7635803,0.42300415,4.0288696
1997-11-19,0.10861206,8.293152,11.600708,4.3283997,5.4281006,-0.1878357,1.6877136,3.4992065
1997-11-20,-1.1028137,7.781311,8.602234,5.976715,7.0068054,-1.3448181,3.6961365,5.254883
1997-11-21,-3.1490784,6.315399,11.37439,7.6950073,6.8628845,-0.57724,0.22097778,4.9684753
1997-11-22,-2.6774597,5.282196,11.124451,12.644165,10.040619,-1.4341736,0.61343384,3.6606445
1997-11-23,-0.6984558,13.725647,14.287872,8.134003,5.937042,-3.3016052,5.310425,1.98526
1997-11-24,2.8631287,11.379059,9.354736,6.02713,-5.3981323,-2.8440857,8.139954,0.9099121
1997-11-25,6.251465,11.056122,10.020111,8.144867,-7.11615,-0.087249756,6.757538,5.443634
1997-11-26,7.4026794,14.405853,13.38031,9.746887,-7.3894653,2.7862854,12.342804,4.735382
1997-11-27,4.4735107,14.860016,13.135803,7.1283875,-7.490753,1.9042053,14.506989,0.7575989
1997-11-28,4.766876,16.843231,16.146698,12.014709,0.44525146,0.33120728,12.6562195,-0.97891235
1997-11-29,1.2160339,12.509613,13.945862,14.883606,0.69311523,0.4083557,11.916473,4.6557617
1997-11-30,-0.09844971,5.231476,18.434692,6.497223,-0.45669556,2.497467,5.1260376,2.8849487
1997-12-01,1.0915833,4.8425293,7.692932,7.0553894,-2.3251343,1.3519592,1.7522278,3.618805
1997-12-02,0.90444946,4.5638733,4.501343,9.417725,-1.4047546,-1.5594177,4.320465,1.4419861
1997-12-03,4.662201,7.276825,6.154419,10.782166,2.2204895,-2.617035,7.0431213,5.281372
1997-12-04,-1.1681824,4.137787,11.595642,7.447998,0.4716797,-1.7481384,1.5603638,3.6557312
1997-12-05,-3.8963318,-0.45388794,17.241943,9.790253,0.28527832,2.9776917,6.215332,0.7409668
1997-12-06,-1.6781311,2.3330383,13.999329,7.910614,3.423523,4.9671936,8.341248,0.8229675
1997-12-07,-1.8386841,1.3356934,8.685059,2.5283203,-4.5816345,9.361481,10.085632,0.602417
1997-12-08,-3.372467,2.651947,7.227783,1.4436646,-7.5541687,7.597809,13.352936,0.34973145
1997-12-09,-3.7652283,2.4372864,8.497772,0.77563477,-7.6539307,3.6700745,3.9933472,-1.0918884
1997-12-10,-1.9154358,3.6246033,14.039795,2.5142822,-4.6907654,2.888092,-0.40112305,1.1646729
1997-12-11,6.4989014,8.218475,3.2180786,1.4702148,-6.5178223,6.3334045,1.8520203,-1.6074829
1997-12-12,0.6857605,5.869629,4.1347046,2.150879,-6.7842407,10.335114,0.029052734,-1.3193665
1997-12-13,-1.9719543,2.2812805,12.710022,5.0762634,-7.4043274,2.686676,-0.8458557,0.44180298
1997-12-14,-2.0733032,7.792816,13.919861,7.0556946,-7.343994,-4.3423767,-0.004180908,-3.537262
1997-12-15,-6.030548,9.677277,4.1146545,9.307587,-6.444336,-5.9983826,1.3349915,-1.8260803
1997-12-16,-8.347748,3.5087585,3.4873047,3.0803528,0.7943115,-4.832367,1.4075317,-1.0194702
1997-12-17,-6.596222,0.4621277,2.3520508,0.8533325,-12.649475,-3.7359314,3.6290588,-2.3698425
1997-12-18,-6.9794617,-1.2536316,1.9141846,1.6494141,-12.55484,-2.5074158,8.316437,5.6051636
1997-12-19,-7.733307,-4.4711914,3.3191223,0.02407837,-11.115326,3.3346252,1.5039368,-0.5196228
1997-12-20,-6.7099915,-5.957245,6.5709534,-1.467804,-8.445099,10.601471,0.7809448,-2.1152039
1997-12-21,-8.462067,-1.598114,6.384186,-0.37353516,-5.1059875,1.9969788,2.409851,0.7807007
1997-12-22,-6.8109436,-0.14553833,6.3666077,-1.7252502,-2.4022522,-0.42807007,0.46002197,0.2970581
1997-12-23,-1.6560364,4.316223,6.558563,-1.9875488,-5.1180725,-0.94833374,3.5016174,4.7980957
1997-12-24,-4.5975037,2.2218323,10.263977,1.5176392,-4.4175415,-1.0115662,9.665283,1.406311
1997-12-25,-7.058563,0.7888794,8.7934265,8.190887,-5.556671,7.2062073,10.418304,-1.5234375
